win_rate,method,Depth,feature_val
0.88,minimax,two,four
0.92,minimax,two,four
0.9,minimax,two,four
0.95,minimax,three,four
0.91,minimax,three,four
0.94,minimax,three,four
0.9,minimax,four,four
0.94,minimax,four,four
0.94,minimax,four,four
0.86,a-b pruning,two,four
0.91,a-b pruning,two,four
0.91,a-b pruning,two,four
0.92,a-b pruning,three,four
0.9,a-b pruning,three,four
0.91,a-b pruning,three,four
0.88,a-b pruning,four,four
0.92,a-b pruning,four,four
0.9,a-b pruning,four,four
0.92,expectimax,two,four
0.93,expectimax,two,four
0.89,expectimax,two,four
0.94,expectimax,three,four
0.94,expectimax,three,four
0.95,expectimax,three,four
0.94,expectimax,four,four
0.93,expectimax,four,four
0.95,expectimax,four,four
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,